scenario,factor_a,factor_b,state_a,state_b,observations,down_pct,flat_pct,up_pct,outcome_separation,mean_return_5d,median_return_5d
TREND_DOWN,momentum_score,liquidity_score,LOW,LOW,788,45.0507614213198,12.18274111675127,42.766497461928935,32.868020304568525,-0.03221725888324874,-0.06575
TREND_DOWN,change_pct,intelligence_score,LOW,HIGH,767,38.983050847457626,14.08083441981747,46.9361147327249,32.85528031290743,0.21792816166883952,0.2604
CHOPPY,change_pct,intelligence_score,LOW,LOW,439,42.14123006833713,12.52847380410023,45.33029612756264,32.80182232346242,0.14755193621867882,0.0469
TREND_UP,relative_strength,volatility_score,LOW,LOW,976,43.0327868852459,12.09016393442623,44.87704918032787,32.786885245901644,0.15389969262295083,0.0312
TREND_UP,momentum_score,volatility_score,LOW,LOW,903,45.51495016611295,12.73532668881506,41.74972314507198,32.77962347729789,-0.03192613510520492,-0.1914
TREND_UP,trend_score,momentum_score,LOW,LOW,1004,36.55378486055777,15.338645418326694,48.10756972111554,32.76892430278885,0.47314581673306777,0.3871
TREND_DOWN,volatility_score,liquidity_score,HIGH,LOW,944,46.61016949152542,13.877118644067796,39.51271186440678,32.733050847457626,-0.3725784957627119,-0.25595
TREND_UP,relative_strength,trend_score,HIGH,LOW,587,39.3526405451448,13.969335604770016,46.678023850085175,32.70868824531516,0.4433841567291312,0.1682
TREND_UP,relative_strength,volatility_score,HIGH,LOW,1030,46.310679611650485,13.689320388349516,40.0,32.62135922330097,-0.12993669902912625,-0.1689
CHOPPY,change_pct,trend_score,HIGH,HIGH,460,47.391304347826086,14.782608695652174,37.826086956521735,32.608695652173914,-0.42637760869565217,-0.3066
TREND_DOWN,change_pct,intelligence_score,LOW,LOW,1240,42.41935483870968,12.5,45.08064516129032,32.58064516129032,0.3148258870967741,0.1298
TREND_UP,relative_strength,momentum_score,HIGH,LOW,416,45.91346153846153,13.461538461538462,40.625,32.45192307692307,-0.04058124999999998,-0.26215
LOW_VOL,relative_strength,trend_score,LOW,LOW,247,32.79352226720648,17.408906882591094,49.797570850202426,32.38866396761133,0.5339838056680162,0.4874
CHOPPY,intelligence_score,trend_score,LOW,LOW,587,45.826235093696766,13.458262350936966,40.71550255536627,32.3679727427598,-0.04733083475298125,-0.2422
TREND_DOWN,relative_strength,liquidity_score,LOW,LOW,774,43.669250645994836,12.015503875968992,44.315245478036175,32.299741602067186,0.02707596899224797,-0.0043
CHOPPY,change_pct,relative_strength,LOW,LOW,607,45.30477759472817,13.01482701812191,41.680395387149915,32.289950576606266,-0.07390708401976939,-0.143
TREND_DOWN,trend_score,momentum_score,LOW,LOW,984,44.207317073170735,11.991869918699187,43.80081300813008,32.21544715447154,0.23238333333333336,-0.0676
TREND_UP,change_pct,trend_score,LOW,HIGH,1178,45.75551782682513,13.582342954159593,40.66213921901528,32.173174872665534,-0.21704940577249576,-0.1703
TREND_UP,intelligence_score,volatility_score,HIGH,LOW,1027,43.9143135345667,11.976630963972736,44.10905550146057,32.13242453748783,-0.028767088607594915,0.1044
LOW_VOL,momentum_score,volatility_score,LOW,LOW,221,38.91402714932127,14.479638009049776,46.60633484162896,32.126696832579185,-0.01356063348416288,0.2662
CHOPPY,intelligence_score,liquidity_score,HIGH,HIGH,595,46.72268907563025,14.6218487394958,38.655462184873954,32.10084033613445,-0.18982352941176472,-0.2749
TREND_DOWN,intelligence_score,trend_score,HIGH,LOW,268,45.52238805970149,13.432835820895523,41.04477611940299,32.08955223880597,0.04474291044776115,-0.29174999999999995
LOW_VOL,trend_score,liquidity_score,LOW,LOW,209,38.27751196172249,14.832535885167463,46.889952153110045,32.057416267942585,0.2121985645933014,0.2018
FLAT,change_pct,trend_score,HIGH,HIGH,100,45.0,13.0,42.0,32.0,0.12621199999999994,0.2153
CHOPPY,relative_strength,liquidity_score,HIGH,HIGH,472,46.82203389830508,14.83050847457627,38.347457627118644,31.991525423728813,-0.19838368644067803,-0.26880000000000004
TREND_DOWN,intelligence_score,momentum_score,LOW,LOW,1352,44.452662721893496,12.5,43.047337278106504,31.952662721893493,0.1467807692307693,-0.1232
CHOPPY,trend_score,liquidity_score,HIGH,HIGH,507,45.562130177514796,13.609467455621301,40.828402366863905,31.95266272189349,-0.06624832347140043,-0.1004
FLAT,change_pct,relative_strength,HIGH,HIGH,144,41.66666666666667,13.194444444444445,45.13888888888889,31.944444444444443,0.30730416666666666,0.31994999999999996
TREND_DOWN,relative_strength,trend_score,HIGH,HIGH,1237,41.06709781729992,13.500404203718674,45.43249797898141,31.932093775262732,0.2555413904607922,0.2031
TREND_UP,change_pct,intelligence_score,LOW,HIGH,853,43.96248534583822,12.075029308323563,43.96248534583822,31.887456037514657,-0.10928171160609611,-0.0186
CHOPPY,change_pct,intelligence_score,HIGH,LOW,320,47.8125,15.937499999999998,36.25,31.875000000000004,-0.2163846875,-0.38095
