global_ic,regime_ic,shrunk_ic,regime_days,icir,direction,source,weight,window,regime,factor
-0.002498256051371393,-0.002498256051371393,-0.002498256051371393,1,0.0,-1,GLOBAL_FALLBACK,0.04962709078207167,4,TREND_DOWN,relative_strength
0.008500693261883954,0.008500693261883954,0.008500693261883954,1,0.0,1,GLOBAL_FALLBACK,0.16886366631093777,4,TREND_DOWN,trend_score
0.0054446354129277195,0.0054446354129277195,0.0054446354129277195,1,0.0,1,GLOBAL_FALLBACK,0.10815601377781985,4,TREND_DOWN,momentum_score
-0.020724214597956852,-0.020724214597956852,-0.020724214597956852,1,0.0,-1,GLOBAL_FALLBACK,0.41168017132405793,4,TREND_DOWN,volatility_score
-0.013172770957161265,-0.013172770957161265,-0.013172770957161265,1,0.0,-1,GLOBAL_FALLBACK,0.26167305780511274,4,TREND_DOWN,liquidity_score
-0.004729256651181475,-0.004729256651181475,-0.004729256651181475,7,0.2798551857449872,-1,GLOBAL_FALLBACK,0.06632934743758535,5,TREND_UP,relative_strength
0.005914685289352713,0.005914685289352713,0.005914685289352713,7,3.4165238831746314,1,GLOBAL_FALLBACK,0.45,5,TREND_UP,trend_score
0.002713202481379791,0.002713202481379791,0.002713202481379791,7,0.12719079942462935,1,GLOBAL_FALLBACK,0.017294873310886923,5,TREND_UP,momentum_score
0.0009347054727303942,0.0009347054727303942,0.0009347054727303942,7,0.34958090901456174,1,GLOBAL_FALLBACK,0.01637577925152776,5,TREND_UP,volatility_score
-0.017382767829431288,-0.017382767829431288,-0.017382767829431288,7,2.1892528090713856,-1,GLOBAL_FALLBACK,0.45,5,TREND_UP,liquidity_score
-0.004729256651181475,-0.004729256651181475,-0.0047292566511814745,2,0.2498816562699352,-1,GLOBAL_FALLBACK,0.057397098523478574,5,LOW_VOL,relative_strength
0.005914685289352713,0.005914685289352713,0.005914685289352713,2,0.7853810240213734,1,GLOBAL_FALLBACK,0.22561850913447637,5,LOW_VOL,trend_score
0.002713202481379791,0.002713202481379791,0.0027132024813797907,2,1.337001897533207,1,GLOBAL_FALLBACK,0.17618823663759817,5,LOW_VOL,momentum_score
0.0009347054727303942,0.0009347054727303942,0.0009347054727303942,2,72.08000000000014,1,GLOBAL_FALLBACK,0.09079615570444692,5,LOW_VOL,volatility_score
-0.017382767829431288,-0.017382767829431288,-0.017382767829431284,2,2.435612175633929,-1,GLOBAL_FALLBACK,0.45,5,LOW_VOL,liquidity_score
-0.004729256651181475,-0.012200398282722598,-0.007991304405798021,31,0.3864297890540917,-1,REGIME,0.03935367698909474,5,SIDEWAYS,relative_strength
0.005914685289352713,0.06219326758279698,0.030487024037194575,31,1.5204915955831948,1,REGIME,0.45,5,SIDEWAYS,trend_score
0.002713202481379791,-0.016451586061958803,-0.005654522093880721,31,0.5037939635757317,-1,REGIME,0.03630328368889498,5,SIDEWAYS,momentum_score
0.0009347054727303942,0.049763633518347034,0.022254378281379914,31,1.4570992269703285,1,REGIME,0.41323932009503395,5,SIDEWAYS,volatility_score
-0.017382767829431288,-0.009792062954814766,-0.014068516405302947,31,0.34081782414967104,-1,REGIME,0.0611037192269764,5,SIDEWAYS,liquidity_score
-0.004729256651181475,-0.0013802710688516613,-0.002620636099344185,68,0.05450321391531446,-1,REGIME,0.004703850410791844,5,HIGH_VOL_DOWN,relative_strength
0.005914685289352713,-0.029196036640545913,-0.016192065555398275,68,0.9805074287011676,-1,REGIME,0.2849705133927796,5,HIGH_VOL_DOWN,trend_score
0.002713202481379791,0.00769293819955741,0.005848591637269404,68,0.31560152029865374,1,REGIME,0.03313120017827918,5,HIGH_VOL_DOWN,momentum_score
0.0009347054727303942,-0.03778504887963177,-0.023444399119497635,68,1.389924755165489,-1,REGIME,0.45,5,HIGH_VOL_DOWN,volatility_score
-0.017382767829431288,-0.015914961346700385,-0.01645859337734146,68,0.7690564034143905,-1,REGIME,0.22719443601814937,5,HIGH_VOL_DOWN,liquidity_score
-0.004729256651181475,-0.004729256651181475,-0.004729256651181475,6,0.0991820686957519,-1,GLOBAL_FALLBACK,0.0659499888713443,5,TREND_DOWN,relative_strength
0.005914685289352713,0.005914685289352713,0.005914685289352713,6,0.4471339910891531,1,GLOBAL_FALLBACK,0.36880021956017306,5,TREND_DOWN,trend_score
0.002713202481379791,0.002713202481379791,0.002713202481379791,6,0.36413185108023033,1,GLOBAL_FALLBACK,0.1377725566709139,5,TREND_DOWN,momentum_score
0.0009347054727303942,0.0009347054727303942,0.0009347054727303942,6,1.4198605391569312,1,GLOBAL_FALLBACK,0.1850726818230893,5,TREND_DOWN,volatility_score
-0.017382767829431288,-0.017382767829431288,-0.017382767829431288,6,0.050328811858665654,-1,GLOBAL_FALLBACK,0.2424045530744795,5,TREND_DOWN,liquidity_score
-0.004729256651181475,-0.004729256651181475,-0.004729256651181475,3,1.0561563791807267,-1,GLOBAL_FALLBACK,0.19376164314792185,5,HIGH_VOL_UP,relative_strength
0.005914685289352713,0.005914685289352713,0.005914685289352713,3,0.7787450743822875,1,GLOBAL_FALLBACK,0.1786790575644858,5,HIGH_VOL_UP,trend_score
0.002713202481379791,0.002713202481379791,0.0027132024813797907,3,1.3206249234310181,1,GLOBAL_FALLBACK,0.13899794954267325,5,HIGH_VOL_UP,momentum_score
0.0009347054727303942,0.0009347054727303942,0.0009347054727303942,3,1.0634834664264294,1,GLOBAL_FALLBACK,0.038561349744919135,5,HIGH_VOL_UP,volatility_score
-0.017382767829431288,-0.017382767829431288,-0.017382767829431288,3,0.7659306664121863,-1,GLOBAL_FALLBACK,0.45,5,HIGH_VOL_UP,liquidity_score
