scenario,factor_a,factor_b,state_a,state_b,target_outcome,episodes,total_observations,target_consistency_pct,positive_uplift_pct,positive_return_pct,mean_target_uplift_pct,median_target_uplift_pct,worst_target_uplift_pct,mean_return_5d,median_return_5d,worst_episode_mean_return_5d,best_episode_mean_return_5d,return_positive_minus_negative_balance,decision,research_status
TREND_DOWN,intelligence_score,trend_score,LOW,LOW,UP,8,1954,62.5,50.0,62.5,7.172386964702117,-0.0429574521497571,-15.096622575927334,0.5623714836184439,0.43424235051546395,-1.4440149122807018,4.1710688,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,volatility_score,LOW,LOW,DOWN,8,1554,50.0,62.5,62.5,2.9772274347828063,6.815884611071873,-24.294606867697333,0.5622356545417754,0.3299340375369822,-1.3283284403669726,3.7714141843971634,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,liquidity_score,LOW,HIGH,UP,8,1197,62.5,62.5,62.5,5.831904352958842,2.6521824594849974,-9.963283778688947,0.5602180331100848,0.610892891566265,-1.8661,3.732682716049383,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,liquidity_score,HIGH,HIGH,DOWN,9,875,55.55555555555556,44.44444444444444,66.66666666666666,-0.1218047071552309,-0.7413632119514517,-41.079536175077585,0.5390296341843225,0.1678791666666667,-1.524599295774648,5.393415384615384,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,liquidity_score,LOW,HIGH,UP,8,1348,62.5,62.5,62.5,5.20904864214706,2.2580881093249445,-12.288708586883025,0.537444900711566,0.42314758787243945,-1.5113,3.2954469387755103,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,relative_strength,HIGH,HIGH,DOWN,9,1077,55.55555555555556,55.55555555555556,55.55555555555556,-1.3386061803141018,0.4771241830065307,-40.16378525932667,0.5356114651514684,0.4283525641025639,-1.339812105263158,5.831476190476191,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,intelligence_score,LOW,LOW,UP,8,1536,62.5,50.0,62.5,7.416000928115063,0.15617357909680507,-10.159978240981136,0.53011219936675,0.45012143473384536,-1.8747073770491804,3.75706883116883,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
CHOPPY,momentum_score,liquidity_score,LOW,LOW,DOWN,5,177,60.0,40.0,80.0,-3.224699957591839,-1.373587570621467,-17.148479913137898,0.5255499567099567,0.2193437499999999,-0.4131045454545454,2.132309090909091,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,momentum_score,LOW,LOW,UP,8,1673,62.5,50.0,62.5,6.508572913747349,-0.25609056095532345,-11.476970914752492,0.5222140653281291,0.39317122747747746,-1.416396808510638,3.604508988764045,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,relative_strength,liquidity_score,LOW,HIGH,UP,8,1094,62.5,62.5,75.0,7.718892936069502,6.642577258492821,-7.498318680378084,0.5221500432718437,0.5009332860281999,-0.995089898989899,1.9691440677966103,4.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
