scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,research_priority,queue_priority,queue_action,queue_reason
UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,TRACK_C_FACTOR_INTERACTION,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,TRACK_C_REGIME_AWARE,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,TRACK_C_SCENARIO_WEAPON,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_B_BASELINE_FAILURE,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_B_CONDITIONAL_SCORE,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_B_FACTOR_AGREEMENT,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_C_FACTOR_INTERACTION,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_C_REGIME_AWARE,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,TRACK_C_SCENARIO_WEAPON,11,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_B_BASELINE_FAILURE,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_B_CONDITIONAL_SCORE,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_B_FACTOR_AGREEMENT,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
