primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d
TREND_DOWN,momentum_score,LOW,789,76,49,49.93662864385298,0.15495044359949273,0.0,-13.047,18.484
TREND_DOWN,momentum_score,MEDIUM,2932,82,49,50.51159618008185,0.13245092087312416,0.042550000000000004,-35.87,17.2931
TREND_DOWN,momentum_score,VERY_HIGH,15,11,11,46.666666666666664,-1.1128466666666668,-0.564,-12.0929,5.1918
TREND_DOWN,relative_strength,LOW,4018,82,49,50.696864111498265,0.15039900447984073,0.053099999999999994,-35.87,18.484
TREND_DOWN,trend_score,HIGH,803,82,49,51.18306351183064,0.19926811955168117,0.1202,-13.047,14.3204
TREND_DOWN,trend_score,MEDIUM,1629,82,49,47.6365868631062,0.09262989564149784,-0.1725,-13.5864,18.484
TREND_DOWN,trend_score,VERY_HIGH,1586,82,49,53.593947036569986,0.18499167717528373,0.256,-35.87,13.6238
TREND_DOWN,volatility_score,HIGH,807,75,43,53.53159851301115,0.5765576208178439,0.3846,-12.9323,18.484
TREND_DOWN,volatility_score,LOW,11,11,1,27.27272727272727,-1.3230363636363636,-1.4585,-4.2675,1.5779
TREND_DOWN,volatility_score,MEDIUM,1,1,1,100.0,8.2004,8.2004,8.2004,8.2004
TREND_DOWN,volatility_score,VERY_HIGH,3199,82,49,50.04688965301657,0.045443638637074006,0.0079,-35.87,17.2931
TREND_UP,intelligence_score,HIGH,2084,84,47,50.14395393474088,-0.09284184261036463,0.0155,-16.5777,12.3968
TREND_UP,intelligence_score,LOW,4,4,1,25.0,-3.3490749999999996,-5.76735,-9.9033,8.0417
TREND_UP,intelligence_score,MEDIUM,2022,84,49,51.38476755687438,0.23985291790306623,0.07635,-33.2122,16.3503
TREND_UP,liquidity_score,HIGH,1171,84,26,50.72587532023911,0.06449299743808713,0.0459,-33.2122,16.3503
TREND_UP,liquidity_score,MEDIUM,436,84,8,52.06422018348624,0.2352461009174312,0.09655,-8.7403,12.365
TREND_UP,liquidity_score,VERY_HIGH,2503,84,38,50.499400719137036,0.03995817019576507,0.0369,-17.0136,13.9366
TREND_UP,momentum_score,HIGH,616,81,49,50.16233766233766,-0.0047488636363636014,0.0195,-33.2122,10.7666
TREND_UP,momentum_score,LOW,139,56,44,43.16546762589928,-0.5683697841726618,-0.6429,-9.9033,10.7716
TREND_UP,momentum_score,MEDIUM,3328,84,49,51.051682692307686,0.10054876802884613,0.058,-31.3997,16.3503
TREND_UP,momentum_score,VERY_HIGH,27,19,17,62.96296296296296,0.9409740740740742,1.5922,-7.3404,9.1931
TREND_UP,relative_strength,LOW,4110,84,49,50.72992700729927,0.06766518248175184,0.04065,-33.2122,16.3503
TREND_UP,trend_score,HIGH,594,83,49,53.70370370370371,0.2906712121212121,0.2262,-8.8731,12.365
TREND_UP,trend_score,MEDIUM,868,84,49,56.91244239631337,0.7114729262672811,0.49985,-9.9948,16.3503
TREND_UP,trend_score,VERY_HIGH,2648,84,49,48.036253776435046,-0.19339626132930512,-0.1507,-33.2122,12.3968
TREND_UP,volatility_score,HIGH,600,64,45,49.333333333333336,0.03584199999999991,-0.09475,-13.2693,13.9366
TREND_UP,volatility_score,LOW,4,4,1,25.0,-3.3490749999999996,-5.76735,-9.9033,8.0417
TREND_UP,volatility_score,MEDIUM,4,4,1,0.0,-4.83505,-4.6095,-8.8061,-1.3151
TREND_UP,volatility_score,VERY_HIGH,3502,84,49,51.05653912050258,0.08261998857795545,0.055099999999999996,-33.2122,16.3503
