batch_id,batch_priority,queue_priority,research_priority,scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,queue_action,batch_action,batch_reason,batch_rank
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_SCENARIO_WEAPON,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_B_BASELINE_FAILURE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_B_CONDITIONAL_SCORE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_B_FACTOR_AGREEMENT,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_C_FACTOR_INTERACTION,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_C_REGIME_AWARE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_031,P3,P3,LOW,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_C_SCENARIO_WEAPON,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_35 does not currently have sufficient scenario history for immediate OOS research.,31
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_B_BASELINE_FAILURE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_B_CONDITIONAL_SCORE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_B_FACTOR_AGREEMENT,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_C_FACTOR_INTERACTION,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_C_REGIME_AWARE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_032,P3,P3,LOW,UNEXPLORED_36,TREND_UP,92a560e6db252f77,TRACK_C_SCENARIO_WEAPON,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_36 does not currently have sufficient scenario history for immediate OOS research.,32
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_B_BASELINE_FAILURE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_B_CONDITIONAL_SCORE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_B_FACTOR_AGREEMENT,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_C_FACTOR_INTERACTION,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_C_REGIME_AWARE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_033,P3,P3,LOW,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,TRACK_C_SCENARIO_WEAPON,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_37 does not currently have sufficient scenario history for immediate OOS research.,33
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_B_BASELINE_FAILURE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_B_CONDITIONAL_SCORE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_B_FACTOR_AGREEMENT,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_C_FACTOR_INTERACTION,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_C_REGIME_AWARE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_034,P3,P3,LOW,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,TRACK_C_SCENARIO_WEAPON,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_38 does not currently have sufficient scenario history for immediate OOS research.,34
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_B_BASELINE_FAILURE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_B_CONDITIONAL_SCORE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_B_FACTOR_AGREEMENT,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_C_FACTOR_INTERACTION,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_C_REGIME_AWARE,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_035,P3,P3,LOW,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_C_SCENARIO_WEAPON,2,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_39 does not currently have sufficient scenario history for immediate OOS research.,35
BATCH_036,P3,P3,LOW,UNEXPLORED_4,FLAT,e9bef98c2da50652,TRACK_B_BASELINE_FAILURE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_4 does not currently have sufficient scenario history for immediate OOS research.,36
BATCH_036,P3,P3,LOW,UNEXPLORED_4,FLAT,e9bef98c2da50652,TRACK_B_CONDITIONAL_SCORE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_4 does not currently have sufficient scenario history for immediate OOS research.,36
BATCH_036,P3,P3,LOW,UNEXPLORED_4,FLAT,e9bef98c2da50652,TRACK_B_FACTOR_AGREEMENT,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_4 does not currently have sufficient scenario history for immediate OOS research.,36
BATCH_036,P3,P3,LOW,UNEXPLORED_4,FLAT,e9bef98c2da50652,TRACK_C_FACTOR_INTERACTION,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_4 does not currently have sufficient scenario history for immediate OOS research.,36
BATCH_036,P3,P3,LOW,UNEXPLORED_4,FLAT,e9bef98c2da50652,TRACK_C_REGIME_AWARE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_4 does not currently have sufficient scenario history for immediate OOS research.,36
