scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,candidate_oos_dates,overlap_oos_dates,overlap_pct_of_scenario,current_oos_windows,target_oos_windows,queue_priority,queue_action,research_priority,methodology_min_observations,execution_readiness,readiness_reason
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,28,100,10,35.71,5,10,P0,CONTINUE_OOS,HIGH,20,BLOCKED_NO_HOLDOUT,Only 10 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_2,FLAT,e1b16ce91e1326b2,TRACK_C_FACTOR_INTERACTION,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_2,FLAT,e1b16ce91e1326b2,TRACK_C_REGIME_AWARE,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_2,FLAT,e1b16ce91e1326b2,TRACK_C_SCENARIO_WEAPON,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_B_BASELINE_FAILURE,3,100,3,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 3 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_B_CONDITIONAL_SCORE,3,100,3,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 3 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_B_FACTOR_AGREEMENT,3,100,3,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 3 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_C_FACTOR_INTERACTION,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_C_REGIME_AWARE,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_42,TREND_UP,58890405cc7b814b,TRACK_C_SCENARIO_WEAPON,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_B_BASELINE_FAILURE,3,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_B_CONDITIONAL_SCORE,3,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_B_FACTOR_AGREEMENT,3,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
