scenario,factor,horizon_days,global_oos_fold_count,oos_fold_count,oos_finite_ic_folds,regime_total_dates,regime_oos_dates,oos_usable_dates,mean_stocks_per_date,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,mean_top_quintile_return,mean_bottom_quintile_return,mean_quintile_spread,positive_spread_fold_pct,bootstrap_95ci_low,bootstrap_95ci_high,raw_sign_test_p_value,adjusted_p_value,evidence_classification
CHOPPY,momentum_score,10,7,7,7,31,22,22,49.0,-0.08212536124644995,0.08196914958891377,-1.001905737198929,14.285714285714285,-0.25490661904761897,0.3688512962962962,-0.6237579153439153,42.857142857142854,-1.5813718888888888,0.3049075894179892,1.0,1.0,NEGATIVE
CHOPPY,momentum_score,20,7,7,7,31,22,18,40.09090909090909,-0.01857080519916903,0.14501404975137952,-0.1280621100576661,42.857142857142854,-0.2392816666666664,0.49154124338624344,-0.7308229100529101,42.857142857142854,-3.109994761904762,2.1294879365079367,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,relative_strength,1,7,7,7,31,22,22,49.0,0.015313652542461769,0.1638324841203891,0.09347140540949639,57.14285714285714,-0.40028936796536796,-0.8731532407407407,0.47286387277537273,42.857142857142854,-0.15903371227753724,1.2841171796536799,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,relative_strength,5,7,7,7,31,22,22,49.0,0.045478195318975144,0.09728288243461199,0.4674840442720537,71.42857142857143,0.3682858636363636,-0.6214452380952382,0.9897311017316016,71.42857142857143,-0.05912388295454545,2.198721759523809,0.453125,1.0,WEAK_INCONSISTENT
CHOPPY,relative_strength,10,7,7,7,31,22,22,49.0,-0.07463934266725647,0.10240604009068338,-0.728856838924357,28.57142857142857,0.186649380952381,0.439817962962963,-0.25316858201058207,42.857142857142854,-1.3401132335978838,0.9341895203703687,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,relative_strength,20,7,7,7,31,22,18,40.09090909090909,-0.011647597664890418,0.14686434599011802,-0.07930854549050416,28.57142857142857,0.635035619047619,0.5986941931216931,0.03634142592592588,42.857142857142854,-1.9300510200396823,2.534778187830688,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,trend_score,1,7,7,7,31,22,22,49.0,0.13274413845119964,0.16051406991358,0.8269937864180283,71.42857142857143,-0.0032950778053574686,-0.7859575722455648,0.7826624944402074,75.0,-0.048267788897362905,1.6135927777777779,0.625,1.0,WEAK_INCONSISTENT
CHOPPY,trend_score,5,7,7,7,31,22,22,49.0,-0.06243658816679064,0.26794457199747823,-0.23302053742435305,57.14285714285714,-0.2684117427382558,-0.7263473360177404,0.45793559327948463,100.0,0.3106641439524529,0.6052070426065164,0.125,1.0,UNVALIDATED
CHOPPY,trend_score,10,7,7,7,31,22,22,49.0,-0.08999402062545399,0.1617917404202521,-0.5562337137340608,42.857142857142854,-0.9716896842533684,-0.5983525480859012,-0.3733371361674673,50.0,-2.5538456328257797,1.1950529498872875,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,trend_score,20,7,7,7,31,22,18,40.09090909090909,-0.12270848676800956,0.13261308950954695,-0.9253120278083534,14.285714285714285,-2.241173617788461,-1.0922773488562094,-1.1488962689322517,50.0,-4.445440973793364,1.8246755176910507,1.0,1.0,NEGATIVE
CHOPPY,volatility_score,1,7,7,7,31,22,22,49.0,0.04052803284159791,0.22286704297503707,0.18184847925737221,42.857142857142854,-0.5492687857142857,-0.6045563359788361,0.05528755026455024,28.57142857142857,-0.6918816972222223,0.9942675833333321,0.453125,1.0,WEAK_INCONSISTENT
CHOPPY,volatility_score,5,7,7,7,31,22,22,49.0,0.009528781788294163,0.13593107842955585,0.07010009703728132,42.857142857142854,0.0024624999999999786,0.5332484523809523,-0.5307859523809524,42.857142857142854,-1.7971348941798941,0.7175174074074073,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,volatility_score,10,7,7,7,31,22,22,49.0,-0.12671271815128776,0.07878529506216017,-1.6083295499663195,0.0,-0.8047326666666665,1.6057633994708993,-2.410496066137566,0.0,-3.218181132275132,-1.6533409603174598,0.015625,0.640625,NEGATIVE
CHOPPY,volatility_score,20,7,7,7,31,22,18,40.09090909090909,-0.08652759271770667,0.17763410123256282,-0.4871113829907168,28.57142857142857,-0.7696080952380951,1.944858968253968,-2.7144670634920636,14.285714285714285,-4.5990713492063495,-0.9494019047619047,0.125,1.0,NEGATIVE
FLAT,change_pct,1,7,2,2,6,3,3,49.0,0.08415588177741856,0.2075868258951323,0.4054008794369832,50.0,0.614305,-0.053197222222222285,0.6675022222222223,100.0,0.060108888888888934,1.2748955555555557,0.5,1.0,UNVALIDATED
