scenario,factor_a,factor_b,state_a,state_b,qualifying_episodes,total_observations,dominant_outcome,dominant_consistency_pct,episodes_with_positive_uplift,episodes_with_positive_mean_return,mean_probability_uplift_pct,median_probability_uplift_pct,mean_return_5d,median_return_5d,min_episode_dominant_probability_pct,max_episode_dominant_probability_pct,decision,repeatability_score
LOW_VOL,change_pct,momentum_score,LOW,LOW,2,193,UP,50.0,2,1,14.731308035581957,14.731308035581957,0.212255298013245,0.344425,47.61904761904761,59.60264900662252,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,relative_strength,HIGH,HIGH,2,187,UP,50.0,2,2,6.339552054515277,6.339552054515277,0.24570267605633808,0.014099999999999994,41.54929577464789,48.888888888888886,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,momentum_score,volatility_score,HIGH,LOW,1,183,UP,100.0,1,1,32.78688524590164,32.78688524590164,1.9710612021857925,1.937,66.12021857923497,66.12021857923497,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,momentum_score,LOW,LOW,2,175,UP,50.0,2,2,14.001750541033479,14.001750541033479,0.5527616500192085,0.344425,47.368421052631575,58.3941605839416,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,liquidity_score,LOW,LOW,2,174,UP,50.0,2,1,9.437023190239149,9.437023190239149,0.07850826238390096,0.2742,47.368421052631575,49.26470588235294,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,volatility_score,HIGH,LOW,1,172,UP,100.0,1,1,35.85271317829458,35.85271317829458,2.3455215116279073,2.3509,69.18604651162791,69.18604651162791,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,trend_score,HIGH,HIGH,1,165,UP,100.0,1,1,36.36363636363637,36.36363636363637,2.4659345454545454,2.4413,69.6969696969697,69.6969696969697,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,volatility_score,liquidity_score,LOW,HIGH,1,164,UP,100.0,1,1,34.95934959349594,34.95934959349594,2.046315243902439,2.1681,68.29268292682927,68.29268292682927,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,momentum_score,HIGH,HIGH,1,158,UP,100.0,1,1,30.590717299578056,30.590717299578056,1.7053170886075952,1.7188500000000002,63.92405063291139,63.92405063291139,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,volatility_score,HIGH,LOW,1,158,UP,100.0,1,1,29.957805907173,29.957805907173,1.613253164556962,1.5719,63.29113924050633,63.29113924050633,INSUFFICIENT_EPISODES,0.1111111111111111
