scenario,factor,horizon_days,global_oos_fold_count,oos_fold_count,oos_finite_ic_folds,regime_total_dates,regime_oos_dates,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,mean_quintile_spread,positive_spread_fold_pct,bootstrap_95ci_low,bootstrap_95ci_high,raw_sign_test_p_value,adjusted_p_value,evidence_classification
CHOPPY,intelligence_score,1,7,7,7,31,22,0.08791032072832623,0.2085544857286734,0.42152208053053525,57.14285714285714,0.32346996657051463,42.857142857142854,-0.40335026775041694,1.1055007137273964,1.0,1.0,WEAK_OOS_EVIDENCE
CHOPPY,intelligence_score,5,7,7,7,31,22,-0.09464418346584637,0.15826189365916468,-0.59802256422935,14.285714285714285,-1.7359187576477761,14.285714285714285,-3.40292889434683,-0.5838810127025665,0.125,0.875,INCONSISTENT_OOS_EVIDENCE
CHOPPY,intelligence_score,10,7,7,7,31,22,-0.17401178762161834,0.13583659650138047,-1.2810376003483708,0.0,-3.297901988111707,14.285714285714285,-4.998067032353753,-1.5976221203190988,0.125,0.875,INCONSISTENT_OOS_EVIDENCE
CHOPPY,intelligence_score,20,7,7,7,31,22,-0.1849490431608996,0.11169790254437638,-1.6557969214097046,0.0,-5.825598588095694,0.0,-7.470155850879411,-4.293638099327207,0.015625,0.6875,INCONSISTENT_OOS_EVIDENCE
CHOPPY,trend_score,1,7,7,7,31,22,0.09095716669883318,0.20548472576167717,0.44264685057090825,71.42857142857143,,,,,,,WEAK_OOS_EVIDENCE
CHOPPY,trend_score,5,7,7,7,31,22,-0.11616808385660196,0.2429140723774802,-0.47822706490252537,42.857142857142854,,,,,,,WEAK_OOS_EVIDENCE
CHOPPY,trend_score,10,7,7,7,31,22,-0.11706095531552006,0.15652469744154862,-0.7478753016547718,28.57142857142857,,,,,,,WEAK_OOS_EVIDENCE
CHOPPY,trend_score,20,7,7,7,31,22,-0.15536966871834587,0.13294071418627482,-1.1687139614779254,14.285714285714285,,,,,,,WEAK_OOS_EVIDENCE
CHOPPY,volatility_score,1,7,7,7,31,22,0.023983127167537956,0.21928117912494455,0.1093715715285924,42.857142857142854,0.23923295238336909,50.0,-0.48558299601522315,0.9893392675075371,1.0,1.0,WEAK_OOS_EVIDENCE
CHOPPY,volatility_score,5,7,7,7,31,22,0.030505106983779583,0.12648828091025982,0.24116943296448287,57.14285714285714,1.2901096742251916,83.33333333333334,-0.2598861318263956,3.048011065162907,0.21875,0.875,WEAK_OOS_EVIDENCE
CHOPPY,volatility_score,10,7,7,7,31,22,-0.12276570030028379,0.09498133397964834,-1.29252449040765,0.0,-0.8725202151372472,33.33333333333333,-2.951920295698925,1.874809893989737,0.6875,1.0,INCONSISTENT_OOS_EVIDENCE
CHOPPY,volatility_score,20,7,7,7,31,22,-0.070130619871731,0.17711895760829313,-0.3959520811252071,28.57142857142857,-2.9250651829147514,16.666666666666664,-5.686729643286606,-0.05053694335805892,0.21875,0.875,INCONSISTENT_OOS_EVIDENCE
FLAT,intelligence_score,1,7,2,2,6,3,0.04090442336672672,0.20061374709829102,0.20389641267547598,50.0,0.29468354341736686,100.0,0.16185042016806728,0.42751666666666643,0.5,1.0,WEAK_OOS_EVIDENCE
FLAT,intelligence_score,5,7,2,2,6,3,-0.035036503184166116,0.21410744216488986,-0.16363981947523137,50.0,0.4295443977591037,50.0,-0.7001000000000002,1.5591887955182075,1.0,1.0,WEAK_OOS_EVIDENCE
FLAT,intelligence_score,10,7,2,2,6,3,0.08667052024213338,0.19277801805850084,0.4495871527003258,50.0,2.21004824929972,100.0,1.53895,2.8811464985994397,0.5,1.0,WEAK_OOS_EVIDENCE
FLAT,intelligence_score,20,7,2,1,6,3,0.3859061900299013,,,100.0,8.298772829131654,100.0,8.298772829131654,8.298772829131654,1.0,1.0,INSUFFICIENT_TEMPORAL_COVERAGE
FLAT,trend_score,1,7,2,2,6,3,-0.09666339834856025,0.23800617534715707,-0.40613819455552574,50.0,,,,,,,WEAK_OOS_EVIDENCE
FLAT,trend_score,5,7,2,2,6,3,0.09640765592123268,0.06513439413457786,1.4801343775769122,100.0,,,,,,,WEAK_OOS_EVIDENCE
FLAT,trend_score,10,7,2,2,6,3,0.176037698802719,0.09055886830980935,1.9439034750354822,100.0,,,,,,,WEAK_OOS_EVIDENCE
FLAT,trend_score,20,7,2,1,6,3,0.3109979105587247,,,100.0,,,,,,,INSUFFICIENT_TEMPORAL_COVERAGE
FLAT,volatility_score,1,7,2,2,6,3,-0.04227919716400705,0.23676011154367127,-0.1785739873509415,50.0,-0.3130467879256966,50.0,-1.060275,0.43418142414860683,1.0,1.0,WEAK_OOS_EVIDENCE
FLAT,volatility_score,5,7,2,2,6,3,0.014860408493323124,0.08865791360343525,0.16761513878832496,50.0,0.368710919762642,100.0,0.03702600619195051,0.7003958333333334,0.5,1.0,WEAK_OOS_EVIDENCE
FLAT,volatility_score,10,7,2,2,6,3,-0.1545923737889875,0.16292241517616932,-0.9488711152595272,0.0,-3.037615499226006,0.0,-5.2519374999999995,-0.8232934984520122,0.5,1.0,INCONSISTENT_OOS_EVIDENCE
FLAT,volatility_score,20,7,2,1,6,3,-0.06760112595019258,,,0.0,-0.9768191950464392,0.0,-0.9768191950464392,-0.9768191950464392,1.0,1.0,INSUFFICIENT_TEMPORAL_COVERAGE
HIGH_VOL,intelligence_score,1,7,1,1,5,5,-0.28813781302450747,,,0.0,-1.3153485544848038,0.0,-1.3153485544848038,-1.3153485544848038,1.0,1.0,INSUFFICIENT_TEMPORAL_COVERAGE
HIGH_VOL,intelligence_score,5,7,1,1,5,5,-0.07445084054395816,,,0.0,-0.5032679021497406,0.0,-0.5032679021497406,-0.5032679021497406,1.0,1.0,INSUFFICIENT_TEMPORAL_COVERAGE
HIGH_VOL,intelligence_score,10,7,1,1,5,5,-0.14787511982535698,,,0.0,-2.830209340252038,0.0,-2.830209340252038,-2.830209340252038,1.0,1.0,INSUFFICIENT_TEMPORAL_COVERAGE
