episode_id,test_start,test_end,scenario,factor_a,factor_b,state_a,state_b,observations,dominant_outcome,dominant_probability_pct,baseline_probability_pct,probability_uplift_pct,mean_return_5d,median_return_5d,down_pct,flat_pct,up_pct
1,2025-12-03,2025-12-31,TREND_UP,change_pct,intelligence_score,LOW,HIGH,30,UP,46.666666666666664,45.864197530864196,0.8024691358024694,0.07049,0.012050000000000002,43.333333333333336,10.0,46.666666666666664
1,2025-12-03,2025-12-31,TREND_UP,change_pct,intelligence_score,HIGH,LOW,36,UP,44.44444444444444,45.864197530864196,-1.419753086419756,0.11990277777777779,0.4778,27.77777777777778,27.77777777777778,44.44444444444444
1,2025-12-03,2025-12-31,TREND_UP,change_pct,intelligence_score,HIGH,HIGH,28,UP,60.71428571428571,45.864197530864196,14.850088183421512,1.6058428571428571,1.0842,25.0,14.285714285714285,60.71428571428571
1,2025-12-03,2025-12-31,CHOPPY,change_pct,relative_strength,LOW,LOW,28,DOWN,53.57142857142857,41.07744107744108,12.49398749398749,-0.3609214285714285,-0.6133,53.57142857142857,17.857142857142858,28.57142857142857
1,2025-12-03,2025-12-31,CHOPPY,change_pct,relative_strength,HIGH,LOW,48,UP,45.83333333333333,43.09764309764309,2.7356902356902357,0.11468333333333332,0.3096,41.66666666666667,12.5,45.83333333333333
1,2025-12-03,2025-12-31,CHOPPY,change_pct,relative_strength,HIGH,HIGH,71,UP,45.07042253521127,43.09764309764309,1.9727794375681729,-0.2246352112676056,0.1087,40.845070422535215,14.084507042253522,45.07042253521127
1,2025-12-03,2025-12-31,FLAT,change_pct,relative_strength,LOW,LOW,21,FLAT,38.095238095238095,19.801980198019802,18.29325789721829,0.4339,-0.2837,28.57142857142857,38.095238095238095,33.33333333333333
1,2025-12-03,2025-12-31,FLAT,change_pct,relative_strength,HIGH,HIGH,24,UP,50.0,53.46534653465347,-3.4653465346534684,0.6945333333333332,0.5366,29.166666666666668,20.833333333333336,50.0
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,relative_strength,LOW,LOW,125,UP,60.8,39.63963963963964,21.160360360360357,1.0276832,0.8582,17.599999999999998,21.6,60.8
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,relative_strength,LOW,HIGH,31,UP,58.06451612903226,39.63963963963964,18.424876489392624,0.7205258064516128,0.9425,19.35483870967742,22.58064516129032,58.06451612903226
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,relative_strength,HIGH,LOW,45,DOWN,46.666666666666664,45.27027027027027,1.3963963963963988,-0.015546666666666643,-0.086,46.666666666666664,20.0,33.33333333333333
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,relative_strength,HIGH,HIGH,142,UP,41.54929577464789,39.63963963963964,1.9096561350082475,0.48162535211267615,0.11829999999999999,35.2112676056338,23.239436619718308,41.54929577464789
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,relative_strength,LOW,LOW,151,UP,49.00662251655629,53.9553752535497,-4.948752736993406,0.24493311258278147,0.4237,29.80132450331126,21.192052980132452,49.00662251655629
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,relative_strength,LOW,HIGH,36,UP,50.0,53.9553752535497,-3.9553752535496978,0.36301944444444445,0.3802,30.555555555555557,19.444444444444446,50.0
