primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,scenario_baseline_observations,scenario_baseline_positive_5d_pct,scenario_baseline_mean_return_5d,global_baseline_observations,global_baseline_positive_5d_pct,global_baseline_mean_return_5d,positive_rate_lift_vs_scenario,mean_return_lift_vs_scenario,positive_rate_lift_vs_global,mean_return_lift_vs_global,predictive_strength_status,predictive_strength_reason
TREND_UP,trend_score,VERY_HIGH,2648,84,49,48.036253776435046,-0.1933962613293051,-0.1507,-33.2122,12.3968,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,-2.576874379371638,-0.2636290817188218,-2.8154254779438688,-0.3411924368073703,NEGATIVE,Meaningful negative lift versus the scenario baseline.
FLAT,liquidity_score,HIGH,102,6,22,48.03921568627451,-0.2465950980392157,-0.1586,-7.2081,5.6309,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-4.681872749099647,-0.35491652661064427,-2.8124635681044055,-0.3943912735172809,NEGATIVE,Meaningful negative lift versus the scenario baseline.
TREND_DOWN,liquidity_score,MEDIUM,419,82,8,46.30071599045346,-0.2952482100238663,-0.1996,-11.4374,12.0454,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,-4.0066358659517505,-0.42625816822401386,-4.550963263925453,-0.44304438550193154,NEGATIVE,Meaningful negative lift versus the scenario baseline.
HIGH_VOL,volatility_score,VERY_HIGH,94,5,20,68.08510638297872,1.83418085106383,1.66105,-11.438,12.5438,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,-5.7924446374294405,-0.45020567954841484,17.233427128599807,1.6863846755857648,NEGATIVE,Meaningful negative lift versus the scenario baseline.
CHOPPY,momentum_score,HIGH,154,30,47,38.31168831168832,-0.6584681818181818,-0.68065,-8.7905,10.4581,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,-8.62708719851576,-0.5034459961697288,-12.539990942690594,-0.806264357296247,NEGATIVE,Meaningful negative lift versus the scenario baseline.
LOW_VOL,momentum_score,HIGH,51,16,29,37.25490196078432,-0.4247647058823529,-0.4224,-6.3705,12.6707,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-15.466186474589833,-0.5738582432973189,-13.596777293594592,-0.5725608813604182,NEGATIVE,Meaningful negative lift versus the scenario baseline.
TREND_UP,momentum_score,LOW,139,56,44,43.16546762589928,-0.5683697841726618,-0.6429,-9.9033,10.7716,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,-7.447660529907402,-0.6386026045621785,-7.686211628479633,-0.716165959650727,NEGATIVE,Meaningful negative lift versus the scenario baseline.
TREND_DOWN,volatility_score,HIGH,807,75,43,53.53159851301115,0.5765576208178439,0.3846,-12.9323,18.484,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,3.224246656605935,0.4455476626176964,2.679919258632232,0.42876144533977867,POSITIVE,Meaningful positive lift versus the scenario baseline.
HIGH_VOL,momentum_score,MEDIUM,128,5,48,78.125,2.6584953125,2.59785,-11.438,13.2915,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,4.247448979591837,0.3741087818877551,27.273320745621085,2.510699137021935,POSITIVE,Meaningful positive lift versus the scenario baseline.
LOW_VOL,trend_score,MEDIUM,271,18,48,59.040590405904055,0.4628723247232473,0.4874,-8.2029,10.196,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,6.319501970529899,0.3137787873082813,8.18891115152514,0.31507614924518207,POSITIVE,Meaningful positive lift versus the scenario baseline.
HIGH_VOL,volatility_score,HIGH,146,5,30,77.3972602739726,2.569164383561644,2.5665500000000003,-5.6835,13.2915,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,3.519709253564443,0.28477785294939917,26.54558101959369,2.421368208083579,POSITIVE,Meaningful positive lift versus the scenario baseline.
TREND_DOWN,momentum_score,HIGH,282,67,48,54.96453900709219,0.3914677304964539,0.3858,-11.4739,12.4062,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,4.65718715068698,0.2604577722963064,4.112859752713277,0.24367155501838866,POSITIVE,Meaningful positive lift versus the scenario baseline.
TREND_UP,trend_score,HIGH,594,83,49,53.70370370370371,0.2906712121212121,0.2262,-8.8731,12.365,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,3.090575547897025,0.22043839173169538,2.8520244493247944,0.14287503664314688,POSITIVE,Meaningful positive lift versus the scenario baseline.
CHOPPY,liquidity_score,MEDIUM,162,31,8,53.086419753086425,0.5020685185185185,0.2989,-8.5783,9.3286,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,6.147644242882343,0.6570907041669715,2.2347404987075095,0.3542723430404533,STRONG_POSITIVE,Large sample with positive return and hit-rate lift.
TREND_UP,trend_score,MEDIUM,868,84,49,56.91244239631337,0.7114729262672811,0.49985,-9.9948,16.3503,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,6.299314240506682,0.6412401058777644,6.060763141934451,0.5636767507892159,STRONG_POSITIVE,Large sample with positive return and hit-rate lift.
HIGH_VOL,liquidity_score,HIGH,57,5,12,73.68421052631578,2.721471929824561,2.4413,-4.3734,13.2915,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,-0.1933404940923822,0.43708539921231626,22.832531271936865,2.573675754346496,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,liquidity_score,MEDIUM,30,6,7,53.333333333333336,0.3713866666666667,0.3953,-4.5028,9.2145,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,0.6122448979591795,0.26306523809523813,2.4816540789544206,0.22359049118860147,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,momentum_score,LOW,140,28,44,48.57142857142857,0.0578092857142857,-0.0616,-9.7891,12.1019,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,1.632653061224488,0.21283147136273864,-2.2802506829503457,-0.08998688976377953,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
HIGH_VOL,trend_score,VERY_HIGH,200,5,44,75.0,2.4851885,2.55475,-11.438,13.2915,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,1.1224489795918373,0.20080196938775519,24.148320745621085,2.337392324521935,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,liquidity_score,VERY_HIGH,2501,82,38,52.17912834866053,0.3154317473010796,0.1825,-14.5157,17.326,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,1.8717764922553144,0.18442178910093207,1.3274490942816115,0.16763557182301436,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,liquidity_score,VERY_HIGH,162,6,33,55.55555555555556,0.2830716049382716,0.2414,-7.5529,9.2944,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,2.834467120181401,0.17475017636684304,4.703876301176642,0.13527542946020638,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,trend_score,HIGH,44,6,34,47.72727272727273,0.2820863636363636,-0.1381,-4.4847,7.6861,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-4.99381570810143,0.173764935064935,-3.1244065271061885,0.13429018815829835,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_UP,intelligence_score,MEDIUM,2022,84,49,51.38476755687438,0.2398529179030662,0.07635,-33.2122,16.3503,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,0.771639401067695,0.1696200975135495,0.5330883024954645,0.09205674242500098,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_UP,liquidity_score,MEDIUM,436,84,8,52.06422018348624,0.2352461009174312,0.09655,-8.7403,12.365,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,1.4510920276795574,0.16501328052791447,1.2125409291073268,0.08744992543936597,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,intelligence_score,MEDIUM,897,31,49,48.04905239687848,-0.0030959866220735,-0.0944,-9.7891,13.4597,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,1.1102768866743986,0.15192619902637944,-2.802626857500435,-0.15089216210013873,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,intelligence_score,HIGH,1224,82,46,54.08496732026144,0.2777286764705882,0.29015,-14.5157,13.6238,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,3.777615463856229,0.14671871827044067,3.233288065882526,0.12993250099252296,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,liquidity_score,VERY_HIGH,497,18,32,53.52112676056338,0.266282092555332,0.2135,-13.1396,14.1326,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,0.8000383251892202,0.11718855514036597,2.6694475061844614,0.11848591707726674,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,intelligence_score,MEDIUM,517,18,48,56.67311411992263,0.2622912959381044,0.3458,-30.1183,10.196,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,3.952025684548474,0.1131977585231384,5.821434865543715,0.11449512046003918,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
