trade_date,index_name,sector,scenario,scenario_id,fingerprint,change_pct,intelligence_score,relative_strength,trend_score,momentum_score,volatility_score,liquidity_score,return_5d,direction_5d
2025-09-08,JIOFIN.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.55,58.16,0.42,50.0,50.71,89.65,100.0,1.3661,UP
2025-09-08,JSWSTEEL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,2.64,60.96,2.51,80.0,66.21,86.07,70.0,-0.0454,FLAT
2025-09-08,KOTAKBANK.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.24,57.94,0.11,50.0,49.88,89.7,100.0,1.0615,UP
2025-09-08,LT.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.68,51.19,-0.81,50.0,44.36,91.58,70.0,1.6036,UP
2025-09-08,M&M.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.0,63.81,-0.13,100.0,61.69,77.38,80.0,-0.8705,DOWN
2025-09-08,MARUTI.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,2.44,61.06,2.31,100.0,63.63,79.38,60.0,0.0459,FLAT
2025-09-08,NESTLEIND.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.72,59.23,-1.85,100.0,43.24,82.89,70.0,2.0881,UP
2025-09-08,NTPC.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.61,54.85,-0.74,50.0,44.51,89.72,90.0,1.3468,UP
2025-09-08,ONGC.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.68,59.02,-0.81,70.0,43.31,91.77,90.0,-0.1161,FLAT
2025-09-08,POWERGRID.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.89,60.87,-1.02,70.0,45.74,88.62,100.0,1.2199,UP
2025-09-08,RELIANCE.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.25,58.05,0.12,50.0,51.97,88.15,100.0,1.5089,UP
2025-09-08,SBILIFE.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.35,48.68,-1.48,50.0,41.89,91.51,60.0,2.3191,UP
2025-09-08,SBIN.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.27,60.65,0.14,70.0,50.73,92.38,90.0,1.9721,UP
2025-09-08,SHRIRAMFIN.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.72,55.63,0.59,50.0,54.91,82.63,90.0,4.5078,UP
2025-09-08,SUNPHARMA.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.79,53.15,-0.92,50.0,47.08,88.68,80.0,1.3283,UP
2025-09-08,TATACONSUM.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.17,56.96,0.04,90.0,47.84,86.94,60.0,2.6438,UP
2025-09-08,TATASTEEL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.68,67.71,0.55,100.0,57.14,80.85,100.0,0.2429,FLAT
2025-09-08,TCS.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.96,56.06,-1.09,70.0,42.28,88.04,80.0,3.0772,UP
