trade_date,candidate,scenario_id,primary_scenario,fingerprint,spread
2026-04-21,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-2.1142500000000006
2026-04-21,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-1.6264444444444446
2026-04-22,TRACK_B_BASELINE_FAILURE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-0.64541
2026-04-22,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-1.9476199999999997
2026-04-22,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,1.1571555555555557
2026-04-23,TRACK_B_BASELINE_FAILURE,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,-2.0416
2026-04-23,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,-2.0416
2026-04-23,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,0.5248222222222222
2026-04-24,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-3.75221
2026-04-24,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-4.9077399999999995
2026-04-24,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-3.4481444444444445
2026-04-27,TRACK_B_BASELINE_FAILURE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-0.9863999999999999
2026-04-27,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-0.95694
2026-04-27,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,0.06838888888888889
2026-04-28,TRACK_B_BASELINE_FAILURE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-2.28979
2026-04-28,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-2.19712
2026-04-28,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-2.741366666666667
2026-04-29,TRACK_B_BASELINE_FAILURE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.1830600000000002
2026-04-29,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.36761
2026-04-29,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.715133333333334
2026-04-30,TRACK_B_BASELINE_FAILURE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.8234099999999995
2026-04-30,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.8234099999999995
2026-04-30,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,-3.9233666666666664
2026-05-01,TRACK_B_BASELINE_FAILURE,,,,-3.07576
2026-05-01,TRACK_B_CONDITIONAL_SCORE,,,,-0.5589600000000001
2026-05-01,TRACK_B_FACTOR_AGREEMENT,,,,-4.408
2026-05-04,TRACK_B_BASELINE_FAILURE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-0.7191799999999998
2026-05-04,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-1.0234799999999997
2026-05-04,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-2.8443
2026-05-05,TRACK_B_BASELINE_FAILURE,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,0.49748999999999954
2026-05-05,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,-0.7424500000000003
2026-05-05,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,-1.2790555555555554
