id_x,trade_date,symbol,sector,change_pct,sector_strength,position_pct,total_score,intelligence_score,created_at,rank,grade,id_y,return_1d,return_5d,return_10d,return_20d,success_1d,success_5d,success_10d,success_20d,strong_win,strong_loss,top10_pick,top20_pick,future_direction
15194,2025-09-03,COALINDIA.NS,METALS,2.55,3.5675,79.95,89.28571428571428,84.08163265306122,2026-06-16 15:55:09,4,B,28412,0.42329399692149233,0.5387378142637163,2.552591072344789,-0.3335043612108803,1,1,1,0,0,0,1,1,BEARISH
15243,2025-09-04,NESTLEIND.NS,FMCG,1.49,0.5714285714285714,83.87,76.93877551020408,75.10204081632654,2026-06-16 15:55:09,2,B,33852,-0.3381164440046107,0.6762328880092402,-0.2886359887844302,-3.5213590631700336,0,1,0,0,0,0,1,1,BEARISH
15781,2025-09-19,ADANIPORTS.NS,INFRASTRUCTURE,1.06,0.385,81.52,83.36734693877551,79.38775510204081,2026-06-16 15:55:09,2,A,25316,1.1486202549376727,-2.507353971144415,-1.912032497548673,2.745482560582718,1,0,0,1,0,0,1,1,BULLISH
16031,2025-09-26,SBIN.NS,BANKING,-0.49,-1.3283333333333334,84.04,70.3061224489796,76.02040816326532,2026-06-16 15:55:10,6,C,35422,1.6103623315245876,1.9954489760195937,3.0340159869303926,8.553591224692218,1,1,1,1,1,0,1,1,BULLISH
16079,2025-09-29,TATASTEEL.NS,METALS,0.94,0.325,80.66,81.93877551020408,82.44897959183673,2026-06-16 15:55:10,5,B,36459,-0.12427506213751897,1.4498757249378726,0.9054325955734414,9.592851224997046,0,1,1,1,1,0,1,1,BULLISH
16176,2025-10-01,ADANIENT.NS,DIVERSIFIED,3.46,3.46,83.2,80.0,81.63265306122449,2026-06-16 15:55:10,4,B,25065,-0.10799552589963078,-1.9400624831256887,-1.3538010568133572,-4.308250086782112,0,0,0,0,0,0,1,1,BEARISH
16227,2025-10-03,NTPC.NS,ENERGY,0.51,0.8280000000000001,76.17,75.51020408163265,75.30612244897958,2026-06-16 15:55:10,12,C,34131,-0.8479532163742624,-0.6725146198830443,-0.29239766081871343,-1.9883040935672547,0,0,0,0,0,0,0,1,BEARISH
16520,2025-10-13,AXISBANK.NS,BANKING,0.78,0.034999999999999996,76.69,74.59183673469387,75.91836734693877,2026-06-16 15:55:10,4,B,26108,-1.075991930060521,3.0598520511096248,4.766308002689984,2.6899798251513114,0,1,1,1,0,0,1,1,BULLISH
16663,2025-10-16,AXISBANK.NS,BANKING,2.28,1.3166666666666667,80.24,87.24489795918367,79.59183673469389,2026-06-16 15:55:10,1,A,26111,0.32600518264650097,3.8117529047897802,3.051074145281284,4.455404162835406,1,1,1,1,0,0,1,1,BULLISH
16955,2025-10-27,ETERNAL.NS,CONSUMER,2.17,2.17,80.72,95.30612244897958,82.44897959183673,2026-06-16 15:55:10,5,B,29225,0.2697033263410351,-3.3263410248726295,-8.360803116571764,-9.40964938567575,1,0,0,0,0,1,1,1,BEARISH
17007,2025-10-28,KOTAKBANK.NS,BANKING,0.57,0.6049999999999999,76.12,85.0,75.81632653061224,2026-06-16 15:55:11,6,B,32852,-0.47667530544242925,-2.9711218067382523,-3.531099592743439,-2.6379118844872345,0,0,0,0,0,0,1,1,BEARISH
17054,2025-10-29,POWERGRID.NS,ENERGY,2.46,2.0620000000000003,82.12,93.87755102040816,79.89795918367346,2026-06-16 15:55:11,3,B,34666,-1.3035381750465627,-8.51532080582361,-8.633824276282375,-7.330286101235833,0,0,0,0,0,1,1,1,BEARISH
17055,2025-10-29,BPCL.NS,ENERGY,2.19,2.0620000000000003,84.18,88.16326530612244,76.53061224489795,2026-06-16 15:55:11,8,B,27673,2.729100833093938,5.702384372306798,7.7133007756391745,4.768744613616767,1,1,1,1,0,0,1,1,BULLISH
17152,2025-10-31,ITC.NS,FMCG,0.38,-0.4828571428571428,84.71,82.85714285714286,78.36734693877551,2026-06-16 15:55:11,12,C,32078,-1.5225407398596487,-3.520875460925422,-3.1521351254906627,-3.830141548709414,0,0,0,0,0,0,0,1,BEARISH
17250,2025-11-04,BAJFINANCE.NS,FINANCIALS,1.33,0.05333333333333332,84.59,85.81632653061224,83.67346938775509,2026-06-16 15:55:11,2,B,26900,-1.42857142857142,-4.143803216650895,-4.86281929990539,-3.3680227057710526,0,0,0,0,0,0,1,1,BEARISH
17497,2025-11-12,BHARTIARTL.NS,TELECOM,1.54,1.54,84.98,80.20408163265307,76.3265306122449,2026-06-16 15:55:11,8,C,27423,0.8679718391358858,4.146976564760343,2.5556948596778857,-0.3279004725624545,1,1,1,0,0,0,1,1,BEARISH
17740,2025-11-19,HCLTECH.NS,IT,4.23,2.6775,78.21,90.51020408163265,82.6530612244898,2026-06-16 15:55:11,11,C,29759,-1.0345242391434992,-2.6885600866113206,-1.3292433537832258,-0.4571153614820107,0,0,0,0,0,0,0,1,BEARISH
17888,2025-11-24,HDFCBANK.NS,BANKING,0.11,-0.3283333333333333,79.9,83.36734693877551,78.57142857142857,2026-06-16 15:55:11,12,C,30021,-0.9357954261121977,0.29525096331882555,0.39533603563029035,-1.1459740779662644,0,1,1,0,0,0,0,1,BEARISH
17987,2025-11-26,JSWSTEEL.NS,METALS,3.81,2.31,75.14,83.77551020408163,76.3265306122449,2026-06-16 15:55:11,1,A,32613,0.5370755370755212,-0.9355509355509513,-4.9896049896050005,-5.466042966042978,1,0,0,0,0,1,1,1,BEARISH
